Column_1,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,weight,Normal_Age
82,A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,Siamese Mix,Seal Point,29.3543907,1.463592192
83,A713690,,2015-10-12 9:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,36.51680784,2.121351779
84,A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,Pit Bull Mix,Brown Brindle,41.52438135,2.603518782
85,A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,Dachshund/Beagle,Brown/White,31.1152279,1.959760051
86,A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black,41.27663376,1.596816009
87,A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black,35.38419412,1.352104604
88,A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,Labrador Retriever Mix,Black/White,39.08225979,1.6725662
89,A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,27.33984136,1.6725662
90,A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,Plott Hound Mix,Brown Brindle/White,24.35206694,1.773136415
91,A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,Boxer/Great Dane,Black,37.01388175,2.22198504
92,A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,Lhasa Apso,White/Black,54.98624122,2.44795483
93,A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,German Shepherd Mix,Black/Tan,50.51969135,2.121351779
94,A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Black,40.76600487,1.728481239
95,A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,Beagle/Treeing Walker Coonhound,White/Brown,43.47115844,2.519296951
96,A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,Border Collie Mix,Black/White,44.11011709,1.842661599
97,A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,20.31088237,1.596816009
98,A690658,,2014-10-24 9:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Black/White,38.89445594,2.22198504
99,A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,Border Terrier Mix,Gray,51.37578283,2.22198504
100,A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,37.83541071,2.355591419
101,A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,Boxer Mix,Brown Brindle/White,25.80704942,2.355591419
102,A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,Domestic Medium Hair Mix,Blue,65.03043486,1.352104604
103,A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black,33.91367771,1.352104604
104,A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,31.31550491,2.29626753
105,A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,Cairn Terrier Mix,Tan/White,37.82807716,2.29626753
106,A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,59.99879345,1.596816009
107,A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,37.15467318,2.121351779
108,A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,Dogo Argentino Mix,White,28.47945695,2.121351779
109,A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,Dachshund Mix,Black/Brown,52.68050986,2.519296951
110,A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,Beagle Mix,Tricolor,39.62982354,2.355591419
111,A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,29.48356597,1.959760051
112,A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,Pit Bull Mix,Fawn/White,38.01098537,2.121351779
113,A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,45.65763241,1.416246109
114,A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,White/Brown,33.68208144,1.773136415
115,A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,34.74168381,2.405198492
116,A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,21.78880391,1.959760051
117,A713392,Basil,2015-11-05 0:00:00,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,24.21618946,1.6725662
118,A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,Domestic Longhair Mix,Calico,48.31072067,1.475180238
119,A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,Chihuahua Shorthair Mix,Brown,46.54104559,2.22198504
120,A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,Dachshund Mix,Black,30.60591429,2.355591419
121,A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,Miniature Schnauzer/Miniature Poodle,Black,41.24103294,2.485605934
122,A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,Labrador Retriever Mix,Black/White,36.60124723,1.596816009
123,A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Tortie,51.77767382,2.44795483
124,A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Black,38.24312068,1.596816009
125,A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,Pit Bull,Black,20.08717324,2.355591419
126,A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,Pit Bull Mix,White/Brown,33.96427859,1.959760051
127,A686520,,2014-08-24 9:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,41.81928604,1.6725662
128,A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,57.41269299,2.121351779
129,A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,Labrador Retriever Mix,Chocolate/White,29.76287077,2.519296951
130,A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,Pit Bull Mix,Red/White,28.1572662,2.22198504
131,A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed Female,Domestic Shorthair Mix,Calico,33.31653148,2.22198504
132,A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair/Jack Russell Terrier,Black/White,50.0830726,1.959760051
133,A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,67.28664216,2.121351779
134,A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,Pit Bull,Brown Brindle,34.50490777,1.959760051
135,A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,Siamese Mix,Flame Point,12.54334087,2.121351779
136,A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,Tibetan Terrier Mix,Brown,38.44965751,2.121351779
137,A681481,,2014-06-18 9:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,49.57690487,2.121351779
138,A714177,,2015-10-20 9:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Tortie,45.24727042,1.6725662
139,A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,Miniature Pinscher/Chihuahua Shorthair,Tricolor,32.3434469,1.475180238
140,A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,38.96750958,1.596816009
141,A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,Domestic Medium Hair Mix,Cream Tabby,41.85837494,1.919340119
142,A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby/White,47.41569587,2.121351779
143,A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,42.52607221,1.596816009
144,A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Yellow,40.74935134,1.810477401
145,A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,46.58281998,1.596816009
146,A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,Dachshund Mix,Tan,28.20447794,1.959760051
147,A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,Dachshund Mix,Brown/White,36.91952785,1.810477401
148,A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,36.25905314,1.959760051
149,A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Calico,33.40780065,1.416246109
150,A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,39.75172081,2.121351779
151,A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,Blue Lacy Mix,Blue/White,44.07968005,1.940364895
152,A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,Rat Terrier Mix,Tricolor,37.66224963,1.6725662
153,A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,Dachshund Longhair,Brown,43.7454644,2.121351779
154,A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Red,27.62336093,2.121351779
155,A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,Pit Bull Mix,Brown/White,26.99946793,2.121351779
156,A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed Female,Domestic Longhair,Calico,32.42699598,1.728481239
157,A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,Dachshund/Chihuahua Shorthair,Red,35.56327911,1.728481239
158,A688067,,2014-09-15 9:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Torbie,28.75139143,1.773136415
159,A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black Tabby/White,16.4397029,1.596816009
160,A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White,30.2937979,2.44795483
161,A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,33.44369612,2.29626753
162,A711639,,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Tortie/Calico,34.85272562,1.416246109
163,A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered Male,Border Collie Mix,Black/White,34.61559222,1.810477401
164,A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact Female,Labrador Retriever Mix,Black/White,16.09328296,1.773136415
165,A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed Female,Maltese,White,48.09042905,2.485605934
166,A707437,,2015-07-19 17:26:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black,30.57125375,1.596816009
167,A706387,Sugar,2015-07-06 18:05:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby/White,33.11080133,1.475180238
168,A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed Female,Labrador Retriever Mix,White,44.72406315,1.773136415
169,A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,39.7131544,1.475180238
170,A690519,,2014-10-23 9:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,37.70633496,1.728481239
171,A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,44.09632993,1.959760051
172,A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered Male,Labrador Retriever/Rottweiler,Black/Brown,38.6477797,2.121351779
173,A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,34.87855251,2.57775254
174,A701153,,2015-06-25 9:31:00,Adoption,Foster,Dog,Neutered Male,Dachshund/Manchester Terrier,Tricolor,38.77319047,1.596816009
175,A710071,Herb,2015-09-01 0:00:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,White/Black,46.54397614,1.596816009
176,A714602,Stripey,2015-10-29 18:44:00,Adoption,,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,52.44924303,1.596816009
177,A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed Female,Plott Hound/Labrador Retriever,Black/Brown Brindle,41.69279405,1.475180238
178,A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed Female,Chihuahua Shorthair/Rat Terrier,White/Tan,35.21304971,2.44795483
179,A679441,,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Cream Tabby/White,57.06153658,1.171708511
180,A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered Male,Siberian Husky,White/Gray,68.99867758,2.29626753
181,A716575,Scarlet,2015-12-22 0:00:00,Transfer,Partner,Dog,Spayed Female,Australian Cattle Dog Mix,Tan/White,42.87146521,2.121351779
182,A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed Female,Pointer Mix,White/Black,31.74738753,1.959760051
183,A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,52.14462844,2.121351779
184,A687336,,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact Female,Domestic Medium Hair Mix,Brown Tabby,31.21476142,1.463592192
185,A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black/White,30.73793394,1.959760051
186,A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed Female,Yorkshire Terrier/Miniature Poodle,Tan/Silver,27.83931253,2.121351779
187,A664304,,2013-10-03 12:27:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,52.88827569,1.919340119
188,A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,German Shepherd Mix,White,29.65430042,2.29626753
189,A680585,Olivia,2014-07-16 17:48:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White,20.66827844,1.728481239
190,A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,Catahoula/Labrador Retriever,White/Tan,30.63009193,2.405198492
191,A702246,,2015-05-15 17:47:00,Adoption,,Dog,Spayed Female,Miniature Poodle Mix,Black/White,44.60247743,1.896363319
