,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Adopted
43,A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White,0
44,A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White,1
45,A686716,Chester,2014-08-27 7:50:00,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor,0
46,A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black,0
47,A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,0
48,A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown,1
49,A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White,0
50,A684050,,2014-07-28 9:00:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,0
51,A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,1
52,A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White,0
53,A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White,1
54,A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,1
55,A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black,0
56,A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,1
57,A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,0
58,A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black,0
59,A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White,1
60,A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,0
61,A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black,0
62,A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,0
63,A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White,1
64,A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,0
65,A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White,0
66,A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White,0
67,A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff,0
68,A705258,,2015-06-16 9:00:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White,0
69,A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red,1
70,A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown,1
71,A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0
72,A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White,1
73,A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,0
74,A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan,0
75,A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,0
76,A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby,1
77,A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,0
78,A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black,1
79,A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,0
80,A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White,1
81,A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,0
82,A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,4 weeks,Siamese Mix,Seal Point,0
83,A713690,,2015-10-12 9:00:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby,0
84,A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle,0
85,A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White,1
86,A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,1
87,A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black,0
88,A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White,0
89,A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico,1
90,A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White,1
91,A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black,1
92,A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black,0
93,A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan,0
94,A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black,1
95,A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown,1
96,A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White,0
97,A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,1
98,A690658,,2014-10-24 9:00:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White,0
99,A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray,1
100,A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White,1
101,A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White,0
102,A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue,0
103,A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,0
104,A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie,0
105,A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White,0
106,A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,1
107,A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,0
108,A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered Male,2 years,Dogo Argentino Mix,White,1
109,A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown,0
110,A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered Male,5 years,Beagle Mix,Tricolor,0
111,A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,0
112,A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,1
113,A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0
114,A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown,0
115,A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby,0
116,A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan,1
117,A713392,Basil,2015-11-05 0:00:00,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White,0
118,A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico,0
119,A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown,0
120,A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund Mix,Black,0
121,A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black,1
122,A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,1
123,A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie,0
124,A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,1
125,A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered Male,5 years,Pit Bull,Black,1
126,A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown,1
127,A686520,,2014-08-24 9:00:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,0
128,A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,0
129,A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White,0
130,A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White,1
131,A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,0
132,A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White,1
133,A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan,0
134,A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle,0
135,A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point,0
136,A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown,0
137,A681481,,2014-06-18 9:00:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White,0
138,A714177,,2015-10-20 9:00:00,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie,0
139,A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor,1
140,A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,1
141,A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby,1
142,A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White,0
143,A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico,1
144,A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow,1
145,A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,1
146,A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Tan,1
147,A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,6 months,Dachshund Mix,Brown/White,0
148,A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,1
149,A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico,0
150,A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,1
151,A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White,1
152,A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor,0
153,A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Longhair,Brown,0
154,A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red,0
155,A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,1
156,A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed Female,4 months,Domestic Longhair,Calico,1
157,A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red,0
158,A688067,,2014-09-15 9:00:00,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie,0
159,A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White,1
160,A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White,0
161,A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White,1
162,A711639,,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico,0
163,A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered Male,6 months,Border Collie Mix,Black/White,1
164,A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White,1
165,A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed Female,8 years,Maltese,White,0
166,A707437,,2015-07-19 17:26:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,1
167,A706387,Sugar,2015-07-06 18:05:00,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,1
168,A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,White,0
169,A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,0
170,A690519,,2014-10-23 9:00:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby,0
171,A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan,1
172,A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown,1
173,A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie,0
174,A701153,,2015-06-25 9:31:00,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor,1
175,A710071,Herb,2015-09-01 0:00:00,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black,0
176,A714602,Stripey,2015-10-29 18:44:00,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,1
177,A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle,1
178,A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan,0
179,A679441,,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White,0
180,A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,White/Gray,0
181,A716575,Scarlet,2015-12-22 0:00:00,Transfer,Partner,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White,0
182,A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black,0
183,A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0
184,A687336,,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby,0
185,A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,0
186,A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver,1
187,A664304,,2013-10-03 12:27:00,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby,0
188,A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,4 years,German Shepherd Mix,White,0
189,A680585,Olivia,2014-07-16 17:48:00,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White,1
190,A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan,0
191,A702246,,2015-05-15 17:47:00,Adoption,,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White,1
192,A711918,Jaqueline,2015-09-19 14:33:00,Adoption,,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red,1
193,A676430,Tabitha,2014-11-23 12:43:00,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie,1
194,A677577,Roxie,2014-05-01 16:12:00,Adoption,,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,1
195,A683666,,2015-09-01 0:00:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby,0
196,A713754,Harper,2015-10-27 16:44:00,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle,1
197,A703631,Hanley,2015-07-03 18:50:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,1
198,A676209,Boomer,2014-07-24 15:02:00,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow,1
199,A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan,0
200,A671105,,2014-01-21 15:20:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Black,0
201,A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White,0
202,A667963,,2013-11-30 18:48:00,Adoption,,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White,1
203,A702207,,2015-05-10 17:16:00,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White,0
204,A672065,Dutchess,2014-04-08 12:50:00,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable,1
205,A688852,Buddy,2014-10-18 18:48:00,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White,1
206,A705885,Meowser,2015-06-27 18:24:00,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,1
207,A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor,0
208,A665666,Teddy,2013-12-27 15:49:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,0
